Global Position,Definition
Standing / Stand-up,"The neutral starting state of a match where both practitioners are on their feet, focusing on distance management, gripping strategies, and executing takedowns or guard pulls to establish top or bottom control."
Closed Guard (Bottom),"A baseline defensive and attacking position where the bottom player wraps their legs completely around the opponent's torso and locks their ankles together, trapping the top player inside their hips to isolate posture and control limbs."
Half Guard (Bottom),"A structural guard variant where the bottom player traps only one of the top player's legs securely between both of their own legs, using frames, shields, or deep underhooks to mitigate weight pressure and create sweep angles."
Open Guard (Standard),"Any defensive configuration where the bottom player's feet are completely unlocked, utilizing varied combinations of hand grips, foot placement on hips or biceps, and framing structures to prevent passes while generating off-balancing vectors."
De La Riva Guard,"An open guard variant where the bottom player hooks an outside leg around the opponent's corresponding near leg from the outside-in while controlling the heel, pulling the opponent's weight forward to break balance or transition to the back."
Reverse De La Riva Guard,"An open guard configuration used primarily to counter knee-slice passing, where the bottom player inserts an inside-out leg hook around the opponent's near leg to form an absolute cross-body frame and block forward hip pressure."
Spider Guard,"A sleeve-grip intensive open guard where the bottom player plants one or both soles of their feet directly onto the opponent's bicep or hip creases, using push-pull tension along the limb to isolate the top player's posture completely."
Lasso Guard,"An open guard configuration where the bottom player loops an outside leg over and underneath the opponent's gripped sleeve or arm, locking the shoulder and posture down to establish an un-sliceable frame and sweep pivot point."
Butterfly Guard,"A highly dynamic, non-committal guard where the bottom player sits up and places the insteps of both feet like hooks inside the opponent's inner thighs, using torso underhooks and elevating leg pumps to sweep or enter leg loops."
Single Leg X Guard,"An open guard sub-system where the bottom player wraps their outside leg around the opponent's near thigh while clamping their inside foot into the far hip crease, isolating a single leg column to execute clean unbalancing drops."
Full X-Guard,"An advanced open guard where the bottom player settles deep underneath the opponent's hips, splitting their legs to form an 'X' across the opponent's far thigh and hip to control weight dispersion and drive overhead sweeps."
K-Guard,"An inversion-ready open guard where the bottom player ducks their torso underneath the opponent's knee line, looping an arm behind the leg to form a 'K' shape with their shins, acting as a direct launching pad for backside heel hooks."
Top Guard Passing,"The active offensive state of a top player working to bypass the bottom player's legs, feet, and knee shields using pressure, speed, or angles to establish a dominant pinning control configuration over the torso."
Side Control (Top),"A dominant pinning position where the top player chest-to-chest compresses the bottom player, pinning their shoulders to the mat from a perpendicular angle with zero leg entrapment, shutting down standard hip-escape vectors."
Side Control (Bottom),"A critical defensive state where the player is pinned chest-to-chest beneath an opponent, forcing absolute reliance on solid elbow-to-knee frames, bridge execution, and hip-escape timing to recover guard or sit up."
Mount (Top),"A highly dominant attacking position where the top player straddles the opponent's torso entirely with their knees on the mat, sitting directly on their chest or abdomen to completely isolate the head and limbs for submissions."
Mount (Bottom),"A severe survival state where the bottom player is straddled and compressed by an opponent, requiring strict chin tucking, elbow-to-knee framing, or high-power bridge and roll escapes to clear the top player's leg anchors."
Back Control (Attacking),"The absolute pinnacle offensive position where the player hooks both legs inside the opponent's thighs from behind ('hooks secured') and establishes a tight seatbelt chest-to-back connection, leaving the opponent completely exposed to choke sequences."
Back Control (Defending),"The high-danger defensive state of having an opponent attached directly to your back with seatbelt control, requiring systematic hand-fighting, hip-line sliding, and clearance of leg hooks to escape to safety."
Turtle (Top),"An attacking or controlling state over an opponent who has balled up tightly on their elbows and knees, focusing on breaking down their base, inserting back-take hooks, or running front headlock choke arrays."
Turtle (Bottom),"A defensive compact survival posture where a player curls completely onto their elbows and knees to cover the neck and limbs, shielding their chest from pins while looking for sit-outs, roll-throughs, or stand-ups."
North-South (Top),"A dominant pinning configuration where the top player aligns their body directly inline with the bottom player but faces in the opposite direction, utilizing heavy head-and-shoulder pressure to lock the chest down."
North-South (Bottom),"A pinned state under an inverted opponent, where the defensive player must use heavy hand blocks on the opponent's hips and reverse hip-escapes to slip their head out from underneath the pinning pressure column."
Ashi Garami (Leg Entanglements),"The foundational sub-system of modern leg locking where a player securely clamps their hips and legs around a single leg column of the opponent, establishing an unbreakable mechanism to leverage heel hooks and ankle breaks."
50/50 Guard,"A symmetrical leg entanglement position where both practitioners have one leg intertwined with the other's in an identical cross-body fashion, creating an even-sided race for leg locks or tactical sweeps to top position."
