Global Technique,Definition
Double Leg Takedown,"A baseline wrestling takedown executed by dropping your level, penetrating your lead leg between the opponent's feet, driving your shoulder into their midsection, and clamping both hands behind their knees to cut an angle and drive them to the mats."
Single Leg Takedown,"A foundational takedown where you attack, secure, and isolate one of the opponent's legs with both hands, lifting the trapped limb between your thighs and finishing with a rotational force or pipe-running motion."
Ankle Pick,"A highly efficient takedown where you use a heavy collar tie or sleeve grip to break the opponent's posture forward, forcing weight onto their lead leg, then drop low to snatch their ankle off the floor while driving their head over the trapped foot."
Snapdown,"A standing control transition executed by breaking an opponent's tie-ups and utilizing a sudden, high-velocity downward pulling force on their collar tie and triceps to collapse their posture and pull their head to the mats into a front headlock system."
Seoi Nage (Shoulder Throw),"A classic Judo hand throw (Te-Waza) executed by securing a deep lapel and sleeve grip, back-stepping completely underneath the opponent's center of gravity to load their torso onto your back, and loading your hips to throw them over your shoulder."
Osoto Gari (Major Outer Reaping),"A powerful Judo foot throw (Ashi-Waza) where you break the opponent's posture diagonally backward over their heel, step deep past their outside flank, and utilize a high-amplitude backward reap of your leg to chop their weight-bearing column."
Ouchi Gari (Major Inner Reaping),"A core Judo dynamic throw where you penetrate inside the opponent's stance and use the back of your leg to reap their near leg from the inside-out, driving your upper body weight directly through their centerline to drop them back."
Uchi Mata (Inner Thigh Throw),"A high-amplitude Judo hip/leg throw where you back-step deep inside the opponent's hips, pull their posture up and forward onto your chest, and violently lift your trailing leg up between their thighs to lift and rotate them over your hip."
Harai Goshi (Sweeping Hip Throw),"A major Judo hip throw (Koshi-Waza) executed by wrapping an arm around the opponent's neck or underhooking their shoulder, drawing their hips completely flush against yours, and sweeping the outside of their leg as you pivot to flip them."
Tomoe Nage (Sacrifice Throw),"A dynamic Judo sacrifice throw (Sutemi-Waza) where you intentionally drop your weight flat to your back while placing the sole of your foot securely into the opponent's lower abdomen, using the falling momentum to launch them overhead."
Guard Pull,"A strategic standing entry where you establish at least one point of connection (sleeve, collar, or hip) and immediately drop your hips to the mat to pull the opponent into a bottom guard state, bypassing the standing takedown game entirely."
Sprawl,"The primary defensive kinetic counter to leg attacks (Double/Single leg entries), executed by violently driving your hips flat to the mat, throwing your legs completely backward out of reach, and applying massive chest-to-back pressure on the attacker."
Kimura,"A powerful double-wrist lock submission executed by trapping an opponent's arm at a 90-degree angle, looping your far arm over their elbow and back through their wrist to form a 'figure-four' grip, and twisting their forearm behind their back."
Armbar,"A foundational hyper-extension submission where you isolate an opponent's arm between your thighs, secure their wrist tightly to your chest, elevate your hips against the back of their elbow joint, and pull downward against the natural alignment."
Triangle Choke,"A signature strangle choke applied from the bottom guard by trapping one of the opponent's arms and their head between your legs, locking your shin over your own ankle behind their knee to compress their carotid arteries with their own shoulder."
Omoplata,"A shoulder lock configuration executed by looping your leg completely over the opponent's arm from the bottom guard, twisting your body 180 degrees away to trap their arm behind your thigh, and flattening them to break the shoulder alignment."
Cross-Collar Choke,"A classic Gi-based stranglehold executed by inserting both hands deep inside the opponent's opposing lapels with palms facing out, then flaring your elbows and pulling your shoulder blades back to constrict blood flow."
Guillotine Choke,"A front-headlock stranglehold executed by wrapping your arm securely around the opponent's neck from the front, locking your hands together under their chin, and arching your spine to apply extreme upward pressure on their trachea."
Rear Naked Choke,"The gold-standard blood strangle applied from back control by wrapping your choking arm tightly around the opponent's throat, securing your hand to your opposite bicep, and placing your far hand behind their head to create a crushing vise."
Bow and Arrow Choke,"A high-percentage Gi submission from the back where you cross-grip the opponent's deep collar with one hand and snatch their pants leg or far thigh with the other, arching your body outward like a bow to amplify the leverage."
Americana,"A shoulder lock applied primarily from top side control or mount where you pin the opponent's forearm to the mat at a 90-degree angle with their palm facing up, slip your far arm under their bicep to form a figure-four grip, and lift their elbow."
Paper Cutter Choke,"A brutal Gi submission from top side control executed by slipping an inside hand deep into the opponent's rear collar, dropping your forearm flat across their throat like a blade, and pulling upward on their opposite lapel."
Ezekiel Choke,"A sneaky, highly effective choke that uses your own sleeves for leverage; executed by sliding one forearm behind the opponent's neck, inserting four fingers into your opposite Gi sleeve, and driving your throat-cutting hand downward."
Arm Triangle Choke,"A side-mount or top mount submission where you trap the opponent's neck and one arm inside a tight head-and-arm hold, squeezing your body weight down laterally to force their own shoulder to close off their carotid artery."
Straight Ankle Lock,"A legal-at-all-belts footlock executed by locking an opponent's Achilles tendon deep under your armpit, wrapping your forearm like a blade across the tendon, clamping your legs tight to isolate their knee joint, and arching your back."
Inside Heel Hook,"An extreme, highly destructive twisting leg lock where you isolate the opponent's leg column in an inside Ashi configuration, cup their heel with your forearm blade, and rotate their foot inwards while keeping their knee firmly locked."
Outside Heel Hook,A rotational leg lock where the opponent's leg is held on the outside flank of your torso; executed by trapping their heel with your wrists and turning their foot outwards away from their centerline to shatter the knee ligaments.
Toe Hold,"A brutal joint lock applied to the foot by wrapping a figure-four grip across the opponent's pinky toe line and top of the foot, then using a rotational twisting force down toward their heel to disrupt the ankle and foot bones."
Kneebar,"A joint lock targeting the knee by trapping the opponent's leg column between your thighs, securing their heel tightly to your neck or armpit, and lifting your hips up directly against the back of their knee joint to force hyper-extension."
Estima Lock,"A sudden mid-guard footlock executed by trapping the opponent's top-of-foot across your lower abdomen/rib cage, looping your arm over their shin, and using a downward crunching weight projection to break the foot alignment."
Hip Escape / Re-guard,"The baseline defensive movement of jiu-jitsu; executed by posting your feet on the mat, shrimping your hips backward away from the opponent, and generating space to slide your knee shield back inside to restore guard."
Underhook Sit-out / Dog Fight,"A critical bottom-half or bottom side-control escape where you clear the opponent's upper body pressure, punch a deep underhook underneath their armpit, and sit out onto your knees to force a 50/50 dog fight wrestling battle."
Ghost Escape,"An advanced bottom side-control escape executed by driving your inside arm straight under your body toward the opponent's far hip, bridging hard, and throwing your legs backward to spin completely out through the back door."
Elbow-Knee Escape,"The core bottom-mount defensive tool where you lay flat, lock your elbows inside the opponent's hip lines, drop one leg flat to the floor, and use a lateral hip shift to slide your bottom knee through to catch half-guard."
Bridge and Roll / Upa,"The classic bottom-mount defense executed by trapping both the opponent's arm and foot on the same side of your body to clear their post, then executing an explosive diagonal bridge over your shoulder to flip them."
Kipping Escape,"A modern bottom-mount escape where you sync a heavy leg-pumping motion ('kipping') with a clean hand-frame against the opponent's hips, letting you bounce your hips flat to the mat and slide your lower legs inside."
Seatbelt Escape,"A back-control defensive survival sequence where you identify the 'under-arm' side of the seatbelt, clear the opponent's leg hook, and slide your shoulders flat to the mat to land inside their guard."
Hip Line Slip,"A back-defense mechanic focused on sliding your hips completely down past the opponent's knee line, rendering their lower hooks useless and letting you pivot your torso into their chest to establish top guard."
Leg Pummel / Heel Slip,"A critical counter-leg-locking defensive movement where you clear the opponent's knee-line isolation, cross-pummel your free leg to create a mechanical wedge, and pull your trapped heel out from their forearm grip."
Scissor Sweep,"A classic closed guard reversal executed by opening your guard, laying one leg flat across the mat as a block, slicing your opposite shin diagonally across their chest, and snapping them over with a scissor scissor motion."
Hip Bump Sweep,"A high-percentage closed guard sweep triggered when an opponent sits back on their heels; executed by sitting up quickly over their shoulder, planting your hand behind you, and driving your hips violently forward into their chest."
Flower Sweep,"A beautiful pendulum-style reversal from closed guard where you cross-grip the opponent's sleeve, trap their lower leg cuff from the inside, swing your outside leg high to break posture, and flip them laterally onto their back."
Pendulum Sweep,"An open or closed guard sweep executed by diving your arm deep underneath the opponent's near leg, using your outside leg as a heavy gravity momentum pendulum, and kicking high to rotate them cleanly over your head."
Tripod Sweep,"A standard open guard sweep executed by placing one foot on the opponent's hip crease, wrapping an outside hand around their near ankle, and placing your opposite foot behind their knee to push-pull them to the mat."
Sickle Sweep,A powerful progression from the tripod configuration; executed by hooking your hip-controlling foot completely around the back of the opponent's far leg and sweeping it cleanly outward like a sickle to drop them.
Knee Slice Pass,"The most widely used guard pass in modern BJJ; executed by establishing an underhook, stepping one leg over the opponent's thigh, and sliding your shin diagonally across their leg down to the mat to slice through."
Torreando Pass,"A high-speed passing maneuver where you secure tight grips on both of the opponent's inner knee cuffs, violently push their legs into their chest, and pull them laterally to step past their defensive guard line."
